[INFO:2021-04-13 17:46:31,430] waiting OPENING sell-liquid/buy-bitbank margin:458, open_threshold:5000
[INFO:2021-04-13 17:46:34,492] waiting OPENING sell-liquid/buy-bitbank margin:5357, open_threshold:5000
[INFO:2021-04-13 17:46:38,035] waiting CLOSING sell-bitbank/buy-liquid margin:-2900, close_threshold:-357
[INFO:2021-04-13 17:46:41,088] waiting CLOSING sell-bitbank/buy-liquid margin:842, close_threshold:-357
[INFO:2021-04-13 17:46:44,643] waiting OPENING sell-bitbank/buy-liquid margin:847, open_threshold:5000
[INFO:2021-04-13 17:46:47,713] waiting OPENING sell-bitbank/buy-liquid margin:1045, open_threshold:5000
[INFO:2021-04-13 17:46:50,764] waiting OPENING sell-bitbank/buy-liquid margin:3253, open_threshold:5000
[INFO:2021-04-13 17:46:53,805] waiting OPENING sell-bitbank/buy-liquid margin:1251, open_threshold:5000
[INFO:2021-04-13 17:46:56,855] waiting OPENING sell-bitbank/buy-liquid margin:280, open_threshold:5000
[INFO:2021-04-13 17:46:59,936] waiting OPENING sell-bitbank/buy-liquid margin:2501, open_threshold:5000
[INFO:2021-04-13 17:47:03,023] waiting OPENING sell-bitbank/buy-liquid margin:2837, open_threshold:5000
[INFO:2021-04-13 17:47:06,091] waiting OPENING sell-bitbank/buy-liquid margin:2076, open_threshold:5000
[INFO:2021-04-13 17:47:09,142] waiting OPENING sell-bitbank/buy-liquid margin:723, open_threshold:5000
[INFO:2021-04-13 17:47:12,202] waiting OPENING sell-bitbank/buy-liquid margin:-5064, open_threshold:5000
[INFO:2021-04-13 17:47:15,246] waiting OPENING sell-liquid/buy-bitbank margin:-1100, open_threshold:5000
[INFO:2021-04-13 17:47:18,362] waiting OPENING sell-liquid/buy-bitbank margin:2101, open_threshold:5000
[INFO:2021-04-13 17:47:21,419] waiting OPENING sell-liquid/buy-bitbank margin:4464, open_threshold:5000
[INFO:2021-04-13 17:47:24,469] waiting OPENING sell-liquid/buy-bitbank margin:5243, open_threshold:5000
[INFO:2021-04-13 17:47:27,997] waiting CLOSING sell-bitbank/buy-liquid margin:-5757, close_threshold:-243
[INFO:2021-04-13 17:47:31,077] waiting CLOSING sell-bitbank/buy-liquid margin:-4156, close_threshold:-243
[INFO:2021-04-13 17:47:34,129] waiting CLOSING sell-bitbank/buy-liquid margin:1433, close_threshold:-243
[INFO:2021-04-13 17:47:37,614] waiting OPENING sell-liquid/buy-bitbank margin:-1981, open_threshold:5000
[INFO:2021-04-13 17:47:40,664] waiting OPENING sell-liquid/buy-bitbank margin:-769, open_threshold:5000
[INFO:2021-04-13 17:47:43,732] waiting OPENING sell-liquid/buy-bitbank margin:2570, open_threshold:5000
[INFO:2021-04-13 17:47:46,798] waiting OPENING sell-liquid/buy-bitbank margin:4246, open_threshold:5000
[INFO:2021-04-13 17:47:49,846] waiting OPENING sell-liquid/buy-bitbank margin:-770, open_threshold:5000
[INFO:2021-04-13 17:47:52,898] waiting OPENING sell-liquid/buy-bitbank margin:-107, open_threshold:5000
[INFO:2021-04-13 17:47:55,961] waiting OPENING sell-liquid/buy-bitbank margin:65, open_threshold:5000
[INFO:2021-04-13 17:47:59,011] waiting OPENING sell-liquid/buy-bitbank margin:-1800, open_threshold:5000
[INFO:2021-04-13 17:48:02,109] waiting OPENING sell-liquid/buy-bitbank margin:-1689, open_threshold:5000
[INFO:2021-04-13 17:48:05,197] waiting OPENING sell-liquid/buy-bitbank margin:5184, open_threshold:5000
[INFO:2021-04-13 17:48:08,757] waiting CLOSING sell-bitbank/buy-liquid margin:-8344, close_threshold:-184
[INFO:2021-04-13 17:48:11,824] waiting CLOSING sell-bitbank/buy-liquid margin:-9531, close_threshold:-184
[INFO:2021-04-13 17:48:14,884] waiting CLOSING sell-bitbank/buy-liquid margin:-7751, close_threshold:-184
[INFO:2021-04-13 17:48:17,926] waiting CLOSING sell-bitbank/buy-liquid margin:-8546, close_threshold:-184
[INFO:2021-04-13 17:48:21,000] waiting CLOSING sell-bitbank/buy-liquid margin:-8545, close_threshold:-184
[INFO:2021-04-13 17:48:24,043] waiting CLOSING sell-bitbank/buy-liquid margin:-9178, close_threshold:-184
[INFO:2021-04-13 17:48:27,134] waiting CLOSING sell-bitbank/buy-liquid margin:-7403, close_threshold:-184
[INFO:2021-04-13 17:48:30,240] waiting CLOSING sell-bitbank/buy-liquid margin:-9461, close_threshold:-184
[INFO:2021-04-13 17:48:33,318] waiting CLOSING sell-bitbank/buy-liquid margin:-10008, close_threshold:-184
[INFO:2021-04-13 17:48:36,388] waiting CLOSING sell-bitbank/buy-liquid margin:-6741, close_threshold:-184
[INFO:2021-04-13 17:48:39,459] waiting CLOSING sell-bitbank/buy-liquid margin:-7627, close_threshold:-184
[INFO:2021-04-13 17:48:42,536] waiting CLOSING sell-bitbank/buy-liquid margin:-8749, close_threshold:-184
[INFO:2021-04-13 17:48:45,588] waiting CLOSING sell-bitbank/buy-liquid margin:-7923, close_threshold:-184
[INFO:2021-04-13 17:48:48,657] waiting CLOSING sell-bitbank/buy-liquid margin:-7792, close_threshold:-184
[INFO:2021-04-13 17:48:51,708] waiting CLOSING sell-bitbank/buy-liquid margin:-7987, close_threshold:-184
[INFO:2021-04-13 17:48:54,786] waiting CLOSING sell-bitbank/buy-liquid margin:-3519, close_threshold:-184
[INFO:2021-04-13 17:48:57,828] waiting CLOSING sell-bitbank/buy-liquid margin:-6295, close_threshold:-184
[INFO:2021-04-13 17:49:00,876] waiting CLOSING sell-bitbank/buy-liquid margin:-3405, close_threshold:-184
[INFO:2021-04-13 17:49:03,919] waiting CLOSING sell-bitbank/buy-liquid margin:-6825, close_threshold:-184
[INFO:2021-04-13 17:49:06,985] waiting CLOSING sell-bitbank/buy-liquid margin:-6365, close_threshold:-184
[INFO:2021-04-13 17:49:10,055] waiting CLOSING sell-bitbank/buy-liquid margin:-4806, close_threshold:-184
[INFO:2021-04-13 17:49:13,130] waiting CLOSING sell-bitbank/buy-liquid margin:-4672, close_threshold:-184
[INFO:2021-04-13 17:49:16,204] waiting CLOSING sell-bitbank/buy-liquid margin:-3099, close_threshold:-184
[INFO:2021-04-13 17:49:19,260] waiting CLOSING sell-bitbank/buy-liquid margin:-2885, close_threshold:-184
[INFO:2021-04-13 17:49:22,310] waiting CLOSING sell-bitbank/buy-liquid margin:-3009, close_threshold:-184
[INFO:2021-04-13 17:49:25,792] waiting CLOSING sell-bitbank/buy-liquid margin:-1273, close_threshold:-184
[INFO:2021-04-13 17:49:28,871] waiting CLOSING sell-bitbank/buy-liquid margin:-2725, close_threshold:-184
[INFO:2021-04-13 17:49:31,928] waiting CLOSING sell-bitbank/buy-liquid margin:-1245, close_threshold:-184
[INFO:2021-04-13 17:49:34,971] waiting CLOSING sell-bitbank/buy-liquid margin:-1203, close_threshold:-184
[INFO:2021-04-13 17:49:38,024] waiting CLOSING sell-bitbank/buy-liquid margin:-6117, close_threshold:-184
[INFO:2021-04-13 17:49:41,146] waiting CLOSING sell-bitbank/buy-liquid margin:-4020, close_threshold:-184
[INFO:2021-04-13 17:49:44,202] waiting CLOSING sell-bitbank/buy-liquid margin:-5440, close_threshold:-184
[INFO:2021-04-13 17:49:47,329] waiting CLOSING sell-bitbank/buy-liquid margin:-5461, close_threshold:-184
[INFO:2021-04-13 17:49:50,400] waiting CLOSING sell-bitbank/buy-liquid margin:-5574, close_threshold:-184
[INFO:2021-04-13 17:49:53,450] waiting CLOSING sell-bitbank/buy-liquid margin:-4999, close_threshold:-184
[INFO:2021-04-13 17:49:56,504] waiting CLOSING sell-bitbank/buy-liquid margin:-5100, close_threshold:-184
[INFO:2021-04-13 17:49:59,550] waiting CLOSING sell-bitbank/buy-liquid margin:-5377, close_threshold:-184
[INFO:2021-04-13 17:50:02,609] waiting CLOSING sell-bitbank/buy-liquid margin:-4959, close_threshold:-184
[INFO:2021-04-13 17:50:05,684] waiting CLOSING sell-bitbank/buy-liquid margin:-5190, close_threshold:-184
[INFO:2021-04-13 17:50:08,774] waiting CLOSING sell-bitbank/buy-liquid margin:-7254, close_threshold:-184
[INFO:2021-04-13 17:50:12,040] waiting CLOSING sell-bitbank/buy-liquid margin:-8768, close_threshold:-184
[INFO:2021-04-13 17:50:15,115] waiting CLOSING sell-bitbank/buy-liquid margin:-7864, close_threshold:-184
[INFO:2021-04-13 17:50:18,170] waiting CLOSING sell-bitbank/buy-liquid margin:-8637, close_threshold:-184
[INFO:2021-04-13 17:50:21,234] waiting CLOSING sell-bitbank/buy-liquid margin:-7391, close_threshold:-184
[INFO:2021-04-13 17:50:24,320] waiting CLOSING sell-bitbank/buy-liquid margin:-8482, close_threshold:-184
[INFO:2021-04-13 17:50:27,372] waiting CLOSING sell-bitbank/buy-liquid margin:-8482, close_threshold:-184
[INFO:2021-04-13 17:50:30,432] waiting CLOSING sell-bitbank/buy-liquid margin:-8408, close_threshold:-184
[INFO:2021-04-13 17:50:33,481] waiting CLOSING sell-bitbank/buy-liquid margin:-8420, close_threshold:-184
[INFO:2021-04-13 17:50:36,578] waiting CLOSING sell-bitbank/buy-liquid margin:-5919, close_threshold:-184
[INFO:2021-04-13 17:50:39,625] waiting CLOSING sell-bitbank/buy-liquid margin:-2952, close_threshold:-184
[INFO:2021-04-13 17:50:42,688] waiting CLOSING sell-bitbank/buy-liquid margin:-4100, close_threshold:-184
[INFO:2021-04-13 17:50:45,728] waiting CLOSING sell-bitbank/buy-liquid margin:-4092, close_threshold:-184
[INFO:2021-04-13 17:50:48,800] waiting CLOSING sell-bitbank/buy-liquid margin:-4082, close_threshold:-184
[INFO:2021-04-13 17:50:51,878] waiting CLOSING sell-bitbank/buy-liquid margin:-2614, close_threshold:-184
[INFO:2021-04-13 17:50:54,937] waiting CLOSING sell-bitbank/buy-liquid margin:-2614, close_threshold:-184
[INFO:2021-04-13 17:50:57,993] waiting CLOSING sell-bitbank/buy-liquid margin:-4798, close_threshold:-184
[INFO:2021-04-13 17:51:01,071] waiting CLOSING sell-bitbank/buy-liquid margin:-5114, close_threshold:-184
[INFO:2021-04-13 17:51:04,149] waiting CLOSING sell-bitbank/buy-liquid margin:-7328, close_threshold:-184
[INFO:2021-04-13 17:51:07,381] waiting CLOSING sell-bitbank/buy-liquid margin:-7614, close_threshold:-184
[INFO:2021-04-13 17:51:10,428] waiting CLOSING sell-bitbank/buy-liquid margin:-7614, close_threshold:-184
[INFO:2021-04-13 17:51:13,470] waiting CLOSING sell-bitbank/buy-liquid margin:-4228, close_threshold:-184
[INFO:2021-04-13 17:51:16,525] waiting CLOSING sell-bitbank/buy-liquid margin:-4228, close_threshold:-184
[INFO:2021-04-13 17:51:19,852] waiting CLOSING sell-bitbank/buy-liquid margin:-6701, close_threshold:-184
[INFO:2021-04-13 17:51:22,904] waiting CLOSING sell-bitbank/buy-liquid margin:-6701, close_threshold:-184
[INFO:2021-04-13 17:51:25,951] waiting CLOSING sell-bitbank/buy-liquid margin:-7500, close_threshold:-184
[INFO:2021-04-13 17:51:29,008] waiting CLOSING sell-bitbank/buy-liquid margin:-10260, close_threshold:-184
[INFO:2021-04-13 17:51:32,060] waiting CLOSING sell-bitbank/buy-liquid margin:-7145, close_threshold:-184
[INFO:2021-04-13 17:51:35,156] waiting CLOSING sell-bitbank/buy-liquid margin:-7457, close_threshold:-184
[INFO:2021-04-13 17:51:38,201] waiting CLOSING sell-bitbank/buy-liquid margin:-4552, close_threshold:-184
[INFO:2021-04-13 17:51:41,276] waiting CLOSING sell-bitbank/buy-liquid margin:-3536, close_threshold:-184
[INFO:2021-04-13 17:51:44,334] waiting CLOSING sell-bitbank/buy-liquid margin:-3529, close_threshold:-184
[INFO:2021-04-13 17:51:47,388] waiting CLOSING sell-bitbank/buy-liquid margin:-4895, close_threshold:-184
[INFO:2021-04-13 17:51:50,443] waiting CLOSING sell-bitbank/buy-liquid margin:-4895, close_threshold:-184
[INFO:2021-04-13 17:51:53,511] waiting CLOSING sell-bitbank/buy-liquid margin:-8441, close_threshold:-184
[INFO:2021-04-13 17:51:56,639] waiting CLOSING sell-bitbank/buy-liquid margin:-9395, close_threshold:-184
[INFO:2021-04-13 17:51:59,687] waiting CLOSING sell-bitbank/buy-liquid margin:-6252, close_threshold:-184
[INFO:2021-04-13 17:52:02,767] waiting CLOSING sell-bitbank/buy-liquid margin:-5877, close_threshold:-184
[INFO:2021-04-13 17:52:05,818] waiting CLOSING sell-bitbank/buy-liquid margin:-4929, close_threshold:-184
[INFO:2021-04-13 17:52:08,861] waiting CLOSING sell-bitbank/buy-liquid margin:-7826, close_threshold:-184
[INFO:2021-04-13 17:52:11,924] waiting CLOSING sell-bitbank/buy-liquid margin:-5750, close_threshold:-184
[INFO:2021-04-13 17:52:14,968] waiting CLOSING sell-bitbank/buy-liquid margin:-9850, close_threshold:-184
[INFO:2021-04-13 17:52:18,040] waiting CLOSING sell-bitbank/buy-liquid margin:-5170, close_threshold:-184
[INFO:2021-04-13 17:52:21,098] waiting CLOSING sell-bitbank/buy-liquid margin:-6244, close_threshold:-184
[INFO:2021-04-13 17:52:24,145] waiting CLOSING sell-bitbank/buy-liquid margin:-8518, close_threshold:-184
[INFO:2021-04-13 17:52:27,308] waiting CLOSING sell-bitbank/buy-liquid margin:-8744, close_threshold:-184
[INFO:2021-04-13 17:52:30,369] waiting CLOSING sell-bitbank/buy-liquid margin:-9952, close_threshold:-184
[INFO:2021-04-13 17:52:33,428] waiting CLOSING sell-bitbank/buy-liquid margin:-9636, close_threshold:-184
[INFO:2021-04-13 17:52:36,474] waiting CLOSING sell-bitbank/buy-liquid margin:-7632, close_threshold:-184
[INFO:2021-04-13 17:52:39,530] waiting CLOSING sell-bitbank/buy-liquid margin:-8736, close_threshold:-184
[INFO:2021-04-13 17:52:42,592] waiting CLOSING sell-bitbank/buy-liquid margin:-8750, close_threshold:-184
[INFO:2021-04-13 17:52:45,685] waiting CLOSING sell-bitbank/buy-liquid margin:-7127, close_threshold:-184
[INFO:2021-04-13 17:52:48,763] waiting CLOSING sell-bitbank/buy-liquid margin:-3315, close_threshold:-184
[INFO:2021-04-13 17:52:51,818] waiting CLOSING sell-bitbank/buy-liquid margin:-3481, close_threshold:-184
[INFO:2021-04-13 17:52:54,857] waiting CLOSING sell-bitbank/buy-liquid margin:-3413, close_threshold:-184
[INFO:2021-04-13 17:52:57,912] waiting CLOSING sell-bitbank/buy-liquid margin:-3409, close_threshold:-184
[INFO:2021-04-13 17:53:00,984] waiting CLOSING sell-bitbank/buy-liquid margin:-4433, close_threshold:-184
[INFO:2021-04-13 17:53:04,059] waiting CLOSING sell-bitbank/buy-liquid margin:-4766, close_threshold:-184
[INFO:2021-04-13 17:53:07,123] waiting CLOSING sell-bitbank/buy-liquid margin:-1369, close_threshold:-184
[INFO:2021-04-13 17:53:10,204] waiting CLOSING sell-bitbank/buy-liquid margin:-3495, close_threshold:-184
[INFO:2021-04-13 17:53:13,259] waiting CLOSING sell-bitbank/buy-liquid margin:-2273, close_threshold:-184
[INFO:2021-04-13 17:53:16,372] waiting CLOSING sell-bitbank/buy-liquid margin:1576, close_threshold:-184
[INFO:2021-04-13 17:53:19,901] waiting OPENING sell-liquid/buy-bitbank margin:1608, open_threshold:5000
[INFO:2021-04-13 17:53:22,944] waiting OPENING sell-liquid/buy-bitbank margin:1616, open_threshold:5000
[INFO:2021-04-13 17:53:25,990] waiting OPENING sell-liquid/buy-bitbank margin:5615, open_threshold:5000
[INFO:2021-04-13 17:53:29,521] waiting CLOSING sell-bitbank/buy-liquid margin:-4821, close_threshold:-615
[INFO:2021-04-13 17:53:32,576] waiting CLOSING sell-bitbank/buy-liquid margin:-4987, close_threshold:-615
[INFO:2021-04-13 17:53:35,618] waiting CLOSING sell-bitbank/buy-liquid margin:-2902, close_threshold:-615
[INFO:2021-04-13 17:53:38,677] waiting CLOSING sell-bitbank/buy-liquid margin:-3970, close_threshold:-615
[INFO:2021-04-13 17:53:41,731] waiting CLOSING sell-bitbank/buy-liquid margin:-4996, close_threshold:-615
[INFO:2021-04-13 17:53:44,783] waiting CLOSING sell-bitbank/buy-liquid margin:-4996, close_threshold:-615
[INFO:2021-04-13 17:53:47,840] waiting CLOSING sell-bitbank/buy-liquid margin:-4748, close_threshold:-615
