[INFO:2021-04-22 06:51:13,916] profit=0, bot=2, market=0.061, trade=1.939
[INFO:2021-04-22 06:54:23,760] profit=0, bot=2, market=0.072, trade=1.928
[INFO:2021-04-22 06:57:33,835] profit=0, bot=10, market=6.69, trade=3.31
[INFO:2021-04-22 07:00:42,844] profit=0, bot=-27, market=-30.421, trade=3.421
[INFO:2021-04-22 07:03:56,872] profit=0, bot=-7, market=-12.216, trade=5.216
[INFO:2021-04-22 07:07:06,812] profit=1.03, bot=-8, market=-2.46, trade=-5.54
[INFO:2021-04-22 07:10:16,228] profit=4.747, bot=-14, market=3.527, trade=-17.527
[INFO:2021-04-22 07:13:25,405] profit=4.747, bot=-24, market=-5.627, trade=-18.373
[INFO:2021-04-22 07:16:36,551] profit=2.333, bot=-13, market=10.729, trade=-23.729
[INFO:2021-04-22 07:19:46,943] profit=2.763, bot=3, market=34.127, trade=-31.127
[INFO:2021-04-22 07:22:57,558] profit=5.185, bot=-18, market=18.536, trade=-36.536
[INFO:2021-04-22 07:26:08,219] profit=5.185, bot=-54, market=-18.188, trade=-35.812
[INFO:2021-04-22 07:29:18,845] profit=8.825, bot=-135, market=-95.036, trade=-39.964
[INFO:2021-04-22 07:32:29,482] profit=10.613, bot=-166, market=-102.236, trade=-63.764
[INFO:2021-04-22 07:35:43,762] profit=11.244, bot=-197, market=-121.427, trade=-75.573
[INFO:2021-04-22 07:38:54,157] profit=14.918, bot=-264, market=-185.912, trade=-78.088
[INFO:2021-04-22 07:42:04,208] profit=20.546, bot=-319, market=-223.224, trade=-95.776
[INFO:2021-04-22 07:45:14,619] profit=18.58, bot=-344, market=-233.132, trade=-110.868
[INFO:2021-04-22 07:48:24,458] profit=23.16, bot=-347, market=-212.41, trade=-134.59
[INFO:2021-04-22 07:51:34,626] profit=22.864, bot=-328, market=-167.315, trade=-160.685
[INFO:2021-04-22 07:54:43,622] profit=20.358, bot=-380, market=-219.073, trade=-160.927
[INFO:2021-04-22 07:57:53,058] profit=26.57, bot=-377, market=-214.676, trade=-162.324
[INFO:2021-04-22 08:01:03,344] profit=26.021, bot=-422, market=-240.541, trade=-181.459
[INFO:2021-04-22 08:04:13,182] profit=31.946, bot=-386, market=-181.469, trade=-204.531
[INFO:2021-04-22 08:07:22,833] profit=31.946, bot=-449, market=-244.097, trade=-204.903
[INFO:2021-04-22 08:10:34,038] profit=29.774, bot=-487, market=-274.957, trade=-212.043
[INFO:2021-04-22 08:13:43,671] profit=39.77, bot=-535, market=-305.828, trade=-229.172
[INFO:2021-04-22 08:16:55,178] profit=38.699, bot=-535, market=-290.465, trade=-244.535
[INFO:2021-04-22 08:20:05,149] profit=37.806, bot=-494, market=-258.698, trade=-235.302
[INFO:2021-04-22 08:23:15,518] profit=43.876, bot=-511, market=-254.735, trade=-256.265
[INFO:2021-04-22 08:26:25,826] profit=42.315, bot=-526, market=-244.262, trade=-281.738
[INFO:2021-04-22 08:29:35,365] profit=46.261, bot=-543, market=-237.667, trade=-305.333
[INFO:2021-04-22 08:32:45,823] profit=45.243, bot=-523, market=-191.512, trade=-331.488
[INFO:2021-04-22 08:35:55,990] profit=44.936, bot=-526, market=-176.011, trade=-349.989
[INFO:2021-04-22 08:39:07,365] profit=46.159, bot=-550, market=-180.953, trade=-369.047
[INFO:2021-04-22 08:42:17,728] profit=49.665, bot=-545, market=-167.628, trade=-377.372
[INFO:2021-04-22 08:45:27,971] profit=54.172, bot=-552, market=-160.897, trade=-391.103
[INFO:2021-04-22 08:48:39,510] profit=53.295, bot=-565, market=-172.631, trade=-392.369
[INFO:2021-04-22 08:51:48,833] profit=59.307, bot=-599, market=-194.843, trade=-404.157
[INFO:2021-04-22 08:54:59,233] profit=62.34, bot=-686, market=-265.427, trade=-420.573
[INFO:2021-04-22 08:58:08,923] profit=67.979, bot=-697, market=-251.658, trade=-445.342
[INFO:2021-04-22 09:01:19,879] profit=75.33, bot=-716, market=-226.828, trade=-489.172
[INFO:2021-04-22 09:04:29,325] profit=73.818, bot=-782, market=-271.656, trade=-510.344
[INFO:2021-04-22 09:07:40,268] profit=82.751, bot=-895, market=-355.427, trade=-539.573
[INFO:2021-04-22 09:10:50,691] profit=86.438, bot=-934, market=-388.319, trade=-545.681
[INFO:2021-04-22 09:14:00,017] profit=82.679, bot=-914, market=-369.214, trade=-544.786
