[INFO:2021-04-22 06:51:57,082] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:51:58,138] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:51:59,237] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:00,293] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:01,296] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:02,315] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:03,327] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:04,362] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:05,378] waiting OPENING sell-bitbank/buy-liquid margin:2741, open_threshold:3000
[INFO:2021-04-22 06:52:06,406] waiting OPENING sell-bitbank/buy-liquid margin:2048, open_threshold:3000
[INFO:2021-04-22 06:52:07,415] waiting OPENING sell-bitbank/buy-liquid margin:2294, open_threshold:3000
[INFO:2021-04-22 06:52:08,455] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:09,464] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:10,489] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:11,500] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:12,511] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:13,540] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:14,550] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:15,580] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:16,641] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:17,693] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
[INFO:2021-04-22 06:52:18,722] waiting OPENING sell-bitbank/buy-liquid margin:2298, open_threshold:3000
