[INFO:2021-04-13 16:53:16,108] waiting CLOSING sell-bitbank/buy-liquid margin:-9728, close_threshold:-977
[INFO:2021-04-13 16:53:19,191] waiting CLOSING sell-bitbank/buy-liquid margin:-7931, close_threshold:-977
[INFO:2021-04-13 16:53:22,242] waiting CLOSING sell-bitbank/buy-liquid margin:-5274, close_threshold:-977
[INFO:2021-04-13 16:53:25,322] waiting CLOSING sell-bitbank/buy-liquid margin:-5845, close_threshold:-977
[INFO:2021-04-13 16:53:28,400] waiting CLOSING sell-bitbank/buy-liquid margin:-7464, close_threshold:-977
[INFO:2021-04-13 16:53:31,462] waiting CLOSING sell-bitbank/buy-liquid margin:-8641, close_threshold:-977
[INFO:2021-04-13 16:53:34,535] waiting CLOSING sell-bitbank/buy-liquid margin:-7287, close_threshold:-977
[INFO:2021-04-13 16:53:37,591] waiting CLOSING sell-bitbank/buy-liquid margin:-6728, close_threshold:-977
[INFO:2021-04-13 16:53:40,635] waiting CLOSING sell-bitbank/buy-liquid margin:-6534, close_threshold:-977
[INFO:2021-04-13 16:53:43,683] waiting CLOSING sell-bitbank/buy-liquid margin:-6252, close_threshold:-977
[INFO:2021-04-13 16:53:46,746] waiting CLOSING sell-bitbank/buy-liquid margin:-6023, close_threshold:-977
[INFO:2021-04-13 16:53:49,804] waiting CLOSING sell-bitbank/buy-liquid margin:-6132, close_threshold:-977
[INFO:2021-04-13 16:53:52,845] waiting CLOSING sell-bitbank/buy-liquid margin:-6727, close_threshold:-977
[INFO:2021-04-13 16:53:55,900] waiting CLOSING sell-bitbank/buy-liquid margin:-6727, close_threshold:-977
[INFO:2021-04-13 16:53:58,945] waiting CLOSING sell-bitbank/buy-liquid margin:-6727, close_threshold:-977
[INFO:2021-04-13 16:54:02,045] waiting CLOSING sell-bitbank/buy-liquid margin:-6727, close_threshold:-977
[INFO:2021-04-13 16:54:05,100] waiting CLOSING sell-bitbank/buy-liquid margin:-9560, close_threshold:-977
[INFO:2021-04-13 16:54:08,176] waiting CLOSING sell-bitbank/buy-liquid margin:-8636, close_threshold:-977
[INFO:2021-04-13 16:54:11,222] waiting CLOSING sell-bitbank/buy-liquid margin:-8319, close_threshold:-977
