[INFO:2020-03-25 16:48:48,905] waiting OPENING sell-coincheck/buy-liquid margin:330, open_threshold:2000
[INFO:2020-03-25 16:48:49,966] waiting OPENING sell-coincheck/buy-liquid margin:294, open_threshold:2000
[INFO:2020-03-25 16:48:51,008] waiting OPENING sell-coincheck/buy-liquid margin:294, open_threshold:2000
[INFO:2020-03-25 16:48:52,073] waiting OPENING sell-coincheck/buy-liquid margin:108, open_threshold:2000
[INFO:2020-03-25 16:48:53,114] waiting OPENING sell-coincheck/buy-liquid margin:108, open_threshold:2000
[INFO:2020-03-25 16:48:54,165] waiting OPENING sell-coincheck/buy-liquid margin:70, open_threshold:2000
[INFO:2020-03-25 16:48:55,211] waiting OPENING sell-coincheck/buy-liquid margin:70, open_threshold:2000
[INFO:2020-03-25 16:48:56,260] waiting OPENING sell-coincheck/buy-liquid margin:134, open_threshold:2000
[INFO:2020-03-25 16:48:57,311] waiting OPENING sell-coincheck/buy-liquid margin:134, open_threshold:2000
[INFO:2020-03-25 16:48:58,372] waiting OPENING sell-coincheck/buy-liquid margin:221, open_threshold:2000
[INFO:2020-03-25 16:48:59,421] waiting OPENING sell-coincheck/buy-liquid margin:221, open_threshold:2000
[INFO:2020-03-25 16:49:00,470] waiting OPENING sell-coincheck/buy-liquid margin:81, open_threshold:2000
[INFO:2020-03-25 16:49:01,530] waiting OPENING sell-coincheck/buy-liquid margin:81, open_threshold:2000
[INFO:2020-03-25 16:49:02,596] waiting OPENING sell-coincheck/buy-liquid margin:125, open_threshold:2000
[INFO:2020-03-25 16:49:03,640] waiting OPENING sell-coincheck/buy-liquid margin:125, open_threshold:2000
[INFO:2020-03-25 16:49:04,699] waiting OPENING sell-coincheck/buy-liquid margin:122, open_threshold:2000
[INFO:2020-03-25 16:49:05,766] waiting OPENING sell-coincheck/buy-liquid margin:74, open_threshold:2000
[INFO:2020-03-25 16:49:06,829] waiting OPENING sell-coincheck/buy-liquid margin:74, open_threshold:2000
[INFO:2020-03-25 16:49:07,872] waiting OPENING sell-coincheck/buy-liquid margin:74, open_threshold:2000
[INFO:2020-03-25 16:49:08,915] waiting OPENING sell-coincheck/buy-liquid margin:97, open_threshold:2000
[INFO:2020-03-25 16:49:09,985] waiting OPENING sell-coincheck/buy-liquid margin:97, open_threshold:2000
[INFO:2020-03-25 16:49:11,048] waiting OPENING sell-coincheck/buy-liquid margin:163, open_threshold:2000
[INFO:2020-03-25 16:49:12,103] waiting OPENING sell-coincheck/buy-liquid margin:163, open_threshold:2000
[INFO:2020-03-25 16:49:13,152] waiting OPENING sell-coincheck/buy-liquid margin:120, open_threshold:2000
[INFO:2020-03-25 16:49:14,205] waiting OPENING sell-coincheck/buy-liquid margin:120, open_threshold:2000
[INFO:2020-03-25 16:49:15,250] waiting OPENING sell-coincheck/buy-liquid margin:238, open_threshold:2000
[INFO:2020-03-25 16:49:16,319] waiting OPENING sell-coincheck/buy-liquid margin:238, open_threshold:2000
[INFO:2020-03-25 16:49:17,402] waiting OPENING sell-coincheck/buy-liquid margin:287, open_threshold:2000
[INFO:2020-03-25 16:49:18,466] waiting OPENING sell-coincheck/buy-liquid margin:287, open_threshold:2000
[INFO:2020-03-25 16:49:19,651] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 16:49:20,716] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 16:49:21,786] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 16:49:22,887] waiting OPENING sell-coincheck/buy-liquid margin:309, open_threshold:2000
[INFO:2020-03-25 16:49:23,942] waiting OPENING sell-coincheck/buy-liquid margin:309, open_threshold:2000
[INFO:2020-03-25 16:49:25,031] waiting OPENING sell-coincheck/buy-liquid margin:309, open_threshold:2000
[INFO:2020-03-25 16:49:26,091] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:27,144] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
