[INFO:2020-05-07 07:06:05,930] tick bid=987656 ask=988033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:06,251] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:06,251] tick bid=987656 ask=988033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:06,507] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:06,507] tick bid=987651 ask=988068 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:06,789] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:06,795] tick bid=987661 ask=988032 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:07,197] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:07,197] tick bid=987661 ask=988032 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:07,709] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:07,709] tick bid=987661 ask=988032 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:07,975] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:07,987] tick bid=987661 ask=988027 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:08,313] tick bid=987863 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:08,313] tick bid=987682 ask=988068 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:08,653] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:08,653] tick bid=987682 ask=988021 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:08,924] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:08,924] tick bid=987682 ask=988021 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:09,206] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:09,206] tick bid=987682 ask=988068 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:09,745] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:09,746] tick bid=987683 ask=988068 (coincheck:BTC/JPY)
