[INFO:2020-05-04 18:35:25,715] tick bid=926018.0 ask=926063.0 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:26,213] tick bid=926018.0 ask=926063.0 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:28,564] tick bid=924410.0 ask=924586.0 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:29,554] tick bid=924444.0 ask=924586.0 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:30,250] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:30,250] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:30,966] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:30,971] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:31,512] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:31,513] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:32,288] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:32,288] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:32,804] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:32,804] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:33,440] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:33,440] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:33,956] tick bid=924436 ask=924580 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:33,956] tick bid=926018 ask=926063 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:34,469] tick bid=924436 ask=924730 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:34,469] tick bid=926018 ask=926062 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:34,976] tick bid=924465 ask=924796 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:34,976] tick bid=926018 ask=926320 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:35,618] tick bid=924489 ask=924790 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:35,625] tick bid=926018 ask=926315 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:36,152] tick bid=924520 ask=924786 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:36,153] tick bid=926018 ask=926355 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:36,691] tick bid=924489 ask=924772 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:36,696] tick bid=926039 ask=926355 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:37,264] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:37,264] tick bid=926039 ask=926416 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:37,784] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:37,784] tick bid=926047 ask=926464 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:38,356] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:38,356] tick bid=926047 ask=926410 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:39,225] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:39,225] tick bid=926047 ask=926464 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:40,225] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:40,225] tick bid=926047 ask=926342 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:40,760] tick bid=924497 ask=924492 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:40,766] tick bid=926018 ask=926331 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:41,359] tick bid=924497 ask=924461 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:41,359] tick bid=926018 ask=926489 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:41,889] tick bid=924497 ask=924795 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:41,895] tick bid=926018 ask=926488 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:42,455] tick bid=924548 ask=924805 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:42,460] tick bid=926023 ask=926813 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:42,973] tick bid=924497 ask=924830 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:42,973] tick bid=926031 ask=926624 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:43,613] tick bid=924371 ask=924543 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:43,613] tick bid=926023 ask=926469 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:44,123] tick bid=924248 ask=924443 (liquid:BTC/JPY)
[INFO:2020-05-04 18:35:44,124] tick bid=925760 ask=925833 (coincheck:BTC/JPY)
[INFO:2020-05-04 18:35:44,633] tick bid=924300 ask=924305 (liquid:BTC/JPY)
