[INFO:2021-03-31 19:51:01,873] waiting CLOSING sell-liquid/buy-bitbank margin:-5227, close_threshold:-1009
[INFO:2021-03-31 19:51:04,921] waiting CLOSING sell-liquid/buy-bitbank margin:-4991, close_threshold:-1009
[INFO:2021-03-31 19:51:07,992] waiting CLOSING sell-liquid/buy-bitbank margin:-4990, close_threshold:-1009
[INFO:2021-03-31 19:51:11,068] waiting CLOSING sell-liquid/buy-bitbank margin:-4451, close_threshold:-1009
[INFO:2021-03-31 19:51:14,121] waiting CLOSING sell-liquid/buy-bitbank margin:-4972, close_threshold:-1009
[INFO:2021-03-31 19:51:17,187] waiting CLOSING sell-liquid/buy-bitbank margin:-4972, close_threshold:-1009
[INFO:2021-03-31 19:51:20,242] waiting CLOSING sell-liquid/buy-bitbank margin:-4972, close_threshold:-1009
[INFO:2021-03-31 19:51:23,294] waiting CLOSING sell-liquid/buy-bitbank margin:-6214, close_threshold:-1009
[INFO:2021-03-31 19:51:26,350] waiting CLOSING sell-liquid/buy-bitbank margin:-4360, close_threshold:-1009
[INFO:2021-03-31 19:51:29,418] waiting CLOSING sell-liquid/buy-bitbank margin:-4426, close_threshold:-1009
[INFO:2021-03-31 19:51:32,484] waiting CLOSING sell-liquid/buy-bitbank margin:-4719, close_threshold:-1009
[INFO:2021-03-31 19:51:35,538] waiting CLOSING sell-liquid/buy-bitbank margin:-1192, close_threshold:-1009
[INFO:2021-03-31 19:51:38,608] waiting CLOSING sell-liquid/buy-bitbank margin:-1050, close_threshold:-1009
[INFO:2021-03-31 19:51:41,666] waiting CLOSING sell-liquid/buy-bitbank margin:512, close_threshold:-1009
[INFO:2021-03-31 19:51:45,280] waiting OPENING sell-liquid/buy-bitbank margin:-104, open_threshold:1500
[INFO:2021-03-31 19:51:48,361] waiting OPENING sell-liquid/buy-bitbank margin:-89, open_threshold:1500
[INFO:2021-03-31 19:51:51,412] waiting OPENING sell-liquid/buy-bitbank margin:-88, open_threshold:1500
[INFO:2021-03-31 19:51:54,541] waiting OPENING sell-liquid/buy-bitbank margin:409, open_threshold:1500
[INFO:2021-03-31 19:51:57,610] waiting OPENING sell-bitbank/buy-liquid margin:2160, open_threshold:1500
[INFO:2021-03-31 19:52:01,370] waiting CLOSING sell-liquid/buy-bitbank margin:-3098, close_threshold:-660
[INFO:2021-03-31 19:52:04,433] waiting CLOSING sell-liquid/buy-bitbank margin:-2264, close_threshold:-660
[INFO:2021-03-31 19:52:07,482] waiting CLOSING sell-liquid/buy-bitbank margin:-2240, close_threshold:-660
[INFO:2021-03-31 19:52:10,536] waiting CLOSING sell-liquid/buy-bitbank margin:-1491, close_threshold:-660
[INFO:2021-03-31 19:52:13,593] waiting CLOSING sell-liquid/buy-bitbank margin:-1001, close_threshold:-660
[INFO:2021-03-31 19:52:16,640] waiting CLOSING sell-liquid/buy-bitbank margin:-1501, close_threshold:-660
[INFO:2021-03-31 19:52:19,703] waiting CLOSING sell-liquid/buy-bitbank margin:-2078, close_threshold:-660
[INFO:2021-03-31 19:52:22,748] waiting CLOSING sell-liquid/buy-bitbank margin:2176, close_threshold:-660
