timestamp,bid,ask,tick_timestamp
2020-05-04 18:35:30,926018,926063,2020-05-04 18:35:30.291
2020-05-04 18:35:30,926018,926063,2020-05-04 18:35:30.971
2020-05-04 18:35:31,926018,926063,2020-05-04 18:35:31.513
2020-05-04 18:35:32,926018,926063,2020-05-04 18:35:32.288
2020-05-04 18:35:32,926018,926063,2020-05-04 18:35:32.804
2020-05-04 18:35:33,926018,926063,2020-05-04 18:35:33.440
2020-05-04 18:35:33,926018,926063,2020-05-04 18:35:33.956
2020-05-04 18:35:34,926018,926062,2020-05-04 18:35:34.469
2020-05-04 18:35:34,926018,926320,2020-05-04 18:35:34.982
2020-05-04 18:35:35,926018,926315,2020-05-04 18:35:35.631
2020-05-04 18:35:36,926018,926355,2020-05-04 18:35:36.153
2020-05-04 18:35:36,926039,926355,2020-05-04 18:35:36.696
2020-05-04 18:35:37,926039,926416,2020-05-04 18:35:37.264
2020-05-04 18:35:37,926047,926464,2020-05-04 18:35:37.784
2020-05-04 18:35:38,926047,926410,2020-05-04 18:35:38.356
2020-05-04 18:35:39,926047,926464,2020-05-04 18:35:39.225
2020-05-04 18:35:40,926047,926342,2020-05-04 18:35:40.246
2020-05-04 18:35:40,926018,926331,2020-05-04 18:35:40.848
2020-05-04 18:35:41,926018,926489,2020-05-04 18:35:41.359
2020-05-04 18:35:41,926018,926488,2020-05-04 18:35:41.897
2020-05-04 18:35:42,926023,926813,2020-05-04 18:35:42.466
2020-05-04 18:35:42,926031,926624,2020-05-04 18:35:42.973
2020-05-04 18:35:43,926023,926469,2020-05-04 18:35:43.613
2020-05-04 18:35:44,925760,925833,2020-05-04 18:35:44.124
2020-05-04 18:35:44,925493,925833,2020-05-04 18:35:44.633
2020-05-04 18:35:46,925511,925833,2020-05-04 18:35:46.391
2020-05-04 18:35:47,925514,925980,2020-05-04 18:35:46.939
2020-05-04 18:35:47,925515,925941,2020-05-04 18:35:47.518
2020-05-04 18:35:48,925515,925940,2020-05-04 18:35:48.026
2020-05-04 18:35:48,925516,925936,2020-05-04 18:35:48.540
2020-05-04 18:35:49,925537,925935,2020-05-04 18:35:49.242
2020-05-04 18:35:49,925537,925930,2020-05-04 18:35:49.781
2020-05-04 18:35:50,925537,925923,2020-05-04 18:35:50.540
2020-05-04 18:35:51,925537,925921,2020-05-04 18:35:51.063
2020-05-04 18:35:51,925537,925916,2020-05-04 18:35:51.580
2020-05-04 18:35:52,925537,925915,2020-05-04 18:35:52.122
2020-05-04 18:35:53,925537,925910,2020-05-04 18:35:53.118
2020-05-04 18:35:53,925318,925904,2020-05-04 18:35:53.783
2020-05-04 18:35:54,925133,925896,2020-05-04 18:35:54.322
2020-05-04 18:35:54,925134,925895,2020-05-04 18:35:54.901
2020-05-04 18:35:55,925133,925895,2020-05-04 18:35:55.412
2020-05-04 18:35:55,925155,925687,2020-05-04 18:35:55.925
2020-05-04 18:35:56,925155,925682,2020-05-04 18:35:56.462
2020-05-04 18:35:56,925155,925680,2020-05-04 18:35:56.991
2020-05-04 18:35:57,924987,925679,2020-05-04 18:35:57.517
2020-05-04 18:35:58,924928,925639,2020-05-04 18:35:58.043
2020-05-04 18:35:58,924929,925634,2020-05-04 18:35:58.569
2020-05-04 18:35:59,924930,925627,2020-05-04 18:35:59.122
2020-05-04 18:35:59,924952,925626,2020-05-04 18:35:59.643
2020-05-04 18:36:00,924953,925625,2020-05-04 18:36:00.245
2020-05-04 18:36:00,924953,925620,2020-05-04 18:36:00.798
2020-05-04 18:36:01,924954,925618,2020-05-04 18:36:01.308
2020-05-04 18:36:01,924956,925612,2020-05-04 18:36:01.886
2020-05-04 18:36:02,924957,925610,2020-05-04 18:36:02.400
2020-05-04 18:36:02,924877,925607,2020-05-04 18:36:02.922
2020-05-04 18:36:03,924899,925602,2020-05-04 18:36:03.456
2020-05-04 18:36:04,924899,925602,2020-05-04 18:36:04.055
2020-05-04 18:36:04,924901,925596,2020-05-04 18:36:04.582
2020-05-04 18:36:05,924902,925593,2020-05-04 18:36:05.462
2020-05-04 18:36:06,924904,925582,2020-05-04 18:36:06.018
2020-05-04 18:36:06,924905,925582,2020-05-04 18:36:06.521
2020-05-04 18:36:07,925074,925581,2020-05-04 18:36:07.106
2020-05-04 18:36:07,925096,925573,2020-05-04 18:36:07.643
2020-05-04 18:36:08,925097,925576,2020-05-04 18:36:08.345
2020-05-04 18:36:08,925193,925576,2020-05-04 18:36:08.859
2020-05-04 18:36:09,925194,925705,2020-05-04 18:36:09.383
2020-05-04 18:36:09,925195,925705,2020-05-04 18:36:09.927
2020-05-04 18:36:10,925202,925811,2020-05-04 18:36:10.474
2020-05-04 18:36:10,925202,925811,2020-05-04 18:36:10.991
2020-05-04 18:36:11,925207,925811,2020-05-04 18:36:11.521
2020-05-04 18:36:12,925207,925811,2020-05-04 18:36:12.156
2020-05-04 18:36:13,925233,925810,2020-05-04 18:36:13.423
2020-05-04 18:36:14,925241,925803,2020-05-04 18:36:14.398
2020-05-04 18:36:14,925249,925803,2020-05-04 18:36:14.955
2020-05-04 18:36:15,925249,925803,2020-05-04 18:36:15.600
2020-05-04 18:36:16,925254,925782,2020-05-04 18:36:16.112
2020-05-04 18:36:16,925254,925781,2020-05-04 18:36:16.650
2020-05-04 18:36:17,925257,925780,2020-05-04 18:36:17.165
2020-05-04 18:36:17,925260,925778,2020-05-04 18:36:17.697
2020-05-04 18:36:18,925264,925777,2020-05-04 18:36:18.269
2020-05-04 18:36:18,925268,925776,2020-05-04 18:36:18.912
2020-05-04 18:36:19,925272,925775,2020-05-04 18:36:19.457
2020-05-04 18:36:19,925276,925753,2020-05-04 18:36:19.997
2020-05-04 18:36:20,925279,925752,2020-05-04 18:36:20.537
2020-05-04 18:36:21,925287,925751,2020-05-04 18:36:21.821
2020-05-04 18:36:22,925287,925750,2020-05-04 18:36:22.723
2020-05-04 18:36:23,925295,925745,2020-05-04 18:36:23.277
2020-05-04 18:36:23,925303,925744,2020-05-04 18:36:23.820
2020-05-04 18:36:24,925303,925743,2020-05-04 18:36:24.354
2020-05-04 18:36:24,925303,925743,2020-05-04 18:36:24.877
2020-05-04 18:36:25,925306,925722,2020-05-04 18:36:25.732
2020-05-04 18:36:26,925314,925721,2020-05-04 18:36:26.268
2020-05-04 18:36:26,925317,925721,2020-05-04 18:36:26.778
2020-05-04 18:36:28,925317,925800,2020-05-04 18:36:28.096
2020-05-04 18:36:28,925318,925842,2020-05-04 18:36:28.744
2020-05-04 18:36:29,925842,925900,2020-05-04 18:36:29.273
2020-05-04 18:36:30,925847,925900,2020-05-04 18:36:30.026
2020-05-04 18:36:30,925843,925900,2020-05-04 18:36:30.599
2020-05-04 18:36:31,925843,925900,2020-05-04 18:36:31.127
2020-05-04 18:36:31,925615,925900,2020-05-04 18:36:31.646
2020-05-04 18:36:32,925624,925900,2020-05-04 18:36:32.164
2020-05-04 18:36:32,925624,925900,2020-05-04 18:36:32.745
2020-05-04 18:36:33,925624,925900,2020-05-04 18:36:33.422
2020-05-04 18:36:33,925625,925900,2020-05-04 18:36:33.948
2020-05-04 18:36:34,925631,925900,2020-05-04 18:36:34.509
2020-05-04 18:36:35,925634,925900,2020-05-04 18:36:35.023
2020-05-04 18:36:35,925634,925900,2020-05-04 18:36:35.563
2020-05-04 18:36:36,925635,925900,2020-05-04 18:36:36.719
2020-05-04 18:36:37,925757,925900,2020-05-04 18:36:37.248
2020-05-04 18:36:37,925757,925900,2020-05-04 18:36:37.868
