timestamp,bid,ask,tick_timestamp
2020-03-25 03:37:38,741122.0,741722.0,2020-03-25 03:37:37
2020-03-25 03:37:39,741213.0,741654.0,2020-03-25 03:37:39
2020-03-25 03:37:40,741213.0,741654.0,2020-03-25 03:37:40
2020-03-25 03:37:41,741519.0,741659.0,2020-03-25 03:37:41
2020-03-25 03:37:42,741519.0,741659.0,2020-03-25 03:37:42
2020-03-25 03:37:43,741374.0,741659.0,2020-03-25 03:37:43
2020-03-25 03:37:44,741374.0,741659.0,2020-03-25 03:37:44
2020-03-25 03:37:46,741276.0,741324.0,2020-03-25 03:37:45
2020-03-25 03:37:47,741276.0,741324.0,2020-03-25 03:37:47
2020-03-25 03:37:48,741277.0,741313.0,2020-03-25 03:37:48
2020-03-25 03:37:49,741277.0,741313.0,2020-03-25 03:37:49
2020-03-25 03:37:50,741047.0,741254.0,2020-03-25 03:37:50
2020-03-25 03:37:51,741047.0,741254.0,2020-03-25 03:37:51
2020-03-25 03:37:52,740996.0,741343.0,2020-03-25 03:37:52
2020-03-25 03:37:53,740996.0,741343.0,2020-03-25 03:37:53
2020-03-25 03:37:54,740703.0,740988.0,2020-03-25 03:37:54
2020-03-25 03:37:55,740703.0,740988.0,2020-03-25 03:37:55
2020-03-25 03:37:56,740647.0,740937.0,2020-03-25 03:37:56
2020-03-25 03:37:57,740647.0,740937.0,2020-03-25 03:37:57
2020-03-25 03:37:58,740988.0,741248.0,2020-03-25 03:37:58
2020-03-25 03:37:59,740988.0,741248.0,2020-03-25 03:37:59
2020-03-25 03:38:00,740988.0,740998.0,2020-03-25 03:38:00
2020-03-25 03:38:01,740988.0,740998.0,2020-03-25 03:38:01
2020-03-25 03:38:02,740988.0,741284.0,2020-03-25 03:38:02
2020-03-25 03:38:04,740988.0,741284.0,2020-03-25 03:38:03
2020-03-25 03:38:05,740850.0,740907.0,2020-03-25 03:38:05
2020-03-25 03:38:06,740850.0,740907.0,2020-03-25 03:38:06
2020-03-25 03:38:07,740553.0,740850.0,2020-03-25 03:38:07
2020-03-25 03:38:08,740553.0,740850.0,2020-03-25 03:38:08
2020-03-25 03:38:09,740608.0,741096.0,2020-03-25 03:38:09
2020-03-25 03:38:10,740608.0,741096.0,2020-03-25 03:38:10
2020-03-25 03:38:11,740751.0,741127.0,2020-03-25 03:38:11
2020-03-25 03:38:12,740751.0,741127.0,2020-03-25 03:38:12
2020-03-25 03:38:13,740752.0,741127.0,2020-03-25 03:38:13
2020-03-25 03:38:14,740752.0,741127.0,2020-03-25 03:38:14
2020-03-25 03:38:15,741327.0,741384.0,2020-03-25 03:38:15
2020-03-25 03:38:16,741327.0,741384.0,2020-03-25 03:38:16
2020-03-25 03:38:17,741217.0,741379.0,2020-03-25 03:38:17
2020-03-25 03:38:18,741217.0,741379.0,2020-03-25 03:38:18
2020-03-25 03:38:19,740848.0,741097.0,2020-03-25 03:38:19
2020-03-25 03:38:20,740848.0,741097.0,2020-03-25 03:38:20
2020-03-25 03:38:22,740703.0,740886.0,2020-03-25 03:38:21
2020-03-25 03:38:23,740703.0,740886.0,2020-03-25 03:38:23
2020-03-25 03:38:24,740242.0,740786.0,2020-03-25 03:38:24
2020-03-25 03:38:25,740242.0,740786.0,2020-03-25 03:38:25
2020-03-25 03:38:26,740412.0,740786.0,2020-03-25 03:38:26
2020-03-25 03:38:27,740412.0,740786.0,2020-03-25 03:38:27
2020-03-25 03:38:28,740649.0,740725.0,2020-03-25 03:38:28
2020-03-25 03:38:29,740649.0,740725.0,2020-03-25 03:38:29
2020-03-25 03:38:30,740488.0,740654.0,2020-03-25 03:38:30
2020-03-25 03:38:31,740488.0,740654.0,2020-03-25 03:38:31
2020-03-25 03:38:32,740689.0,741474.0,2020-03-25 03:38:32
2020-03-25 03:38:33,740689.0,741474.0,2020-03-25 03:38:33
2020-03-25 03:38:34,740713.0,741299.0,2020-03-25 03:38:34
2020-03-25 03:38:35,740713.0,741299.0,2020-03-25 03:38:35
2020-03-25 03:38:36,740698.0,741187.0,2020-03-25 03:38:36
2020-03-25 03:38:37,740698.0,741187.0,2020-03-25 03:38:37
2020-03-25 03:38:38,740545.0,741162.0,2020-03-25 03:38:38
2020-03-25 03:38:39,740545.0,741162.0,2020-03-25 03:38:39
2020-03-25 03:38:40,740816.0,741169.0,2020-03-25 03:38:40
2020-03-25 03:38:42,740816.0,741169.0,2020-03-25 03:38:41
2020-03-25 03:38:43,740717.0,741152.0,2020-03-25 03:38:43
2020-03-25 03:38:44,740717.0,741152.0,2020-03-25 03:38:44
2020-03-25 03:38:45,740718.0,741151.0,2020-03-25 03:38:45
2020-03-25 03:38:46,740718.0,741151.0,2020-03-25 03:38:46
2020-03-25 03:38:47,740609.0,740814.0,2020-03-25 03:38:47
2020-03-25 03:38:48,740609.0,740814.0,2020-03-25 03:38:48
2020-03-25 03:38:49,740627.0,740810.0,2020-03-25 03:38:49
2020-03-25 03:38:50,740627.0,740810.0,2020-03-25 03:38:50
2020-03-25 03:38:51,740627.0,740810.0,2020-03-25 03:38:51
2020-03-25 03:38:52,740627.0,740810.0,2020-03-25 03:38:52
2020-03-25 03:38:53,741165.0,741266.0,2020-03-25 03:38:53
2020-03-25 03:38:54,741165.0,741266.0,2020-03-25 03:38:54
2020-03-25 03:38:55,740863.0,741017.0,2020-03-25 03:38:55
2020-03-25 03:38:56,740863.0,741017.0,2020-03-25 03:38:56
2020-03-25 03:38:57,740684.0,741163.0,2020-03-25 03:38:57
2020-03-25 03:38:58,740684.0,741163.0,2020-03-25 03:38:58
2020-03-25 03:38:59,740712.0,740949.0,2020-03-25 03:38:59
2020-03-25 03:39:01,740712.0,740949.0,2020-03-25 03:39:00
2020-03-25 03:39:02,741424.0,741485.0,2020-03-25 03:39:02
2020-03-25 03:39:03,741424.0,741485.0,2020-03-25 03:39:03
2020-03-25 03:39:04,741401.0,741575.0,2020-03-25 03:39:04
2020-03-25 03:39:05,741448.0,741573.0,2020-03-25 03:39:05
2020-03-25 03:39:06,741448.0,741573.0,2020-03-25 03:39:06
2020-03-25 03:39:07,741449.0,741573.0,2020-03-25 03:39:07
2020-03-25 03:39:08,741449.0,741573.0,2020-03-25 03:39:08
2020-03-25 03:39:09,741844.0,741863.0,2020-03-25 03:39:09
2020-03-25 03:39:10,741844.0,741863.0,2020-03-25 03:39:10
2020-03-25 03:39:11,741844.0,741863.0,2020-03-25 03:39:11
2020-03-25 03:39:12,741844.0,741863.0,2020-03-25 03:39:12
2020-03-25 03:39:13,741844.0,741863.0,2020-03-25 03:39:13
