timestamp,bid,ask,tick_timestamp
2020-05-05 08:13:36,951742,952203,2020-05-05 08:13:36.024
2020-05-05 08:13:36,951742,952203,2020-05-05 08:13:36.332
2020-05-05 08:13:36,951748,952197,2020-05-05 08:13:36.614
2020-05-05 08:13:36,951748,952197,2020-05-05 08:13:36.929
2020-05-05 08:13:37,951769,952197,2020-05-05 08:13:37.211
2020-05-05 08:13:37,951883,952197,2020-05-05 08:13:37.484
2020-05-05 08:13:37,951883,952197,2020-05-05 08:13:37.756
2020-05-05 08:13:38,951884,952197,2020-05-05 08:13:38.065
2020-05-05 08:13:38,951884,952197,2020-05-05 08:13:38.363
2020-05-05 08:13:38,951885,952197,2020-05-05 08:13:38.620
2020-05-05 08:13:38,951885,952197,2020-05-05 08:13:38.964
2020-05-05 08:13:39,951892,952286,2020-05-05 08:13:39.309
2020-05-05 08:13:39,951938,952286,2020-05-05 08:13:39.651
2020-05-05 08:13:39,951939,952286,2020-05-05 08:13:39.914
2020-05-05 08:13:40,951939,952286,2020-05-05 08:13:40.194
2020-05-05 08:13:40,951940,952286,2020-05-05 08:13:40.508
2020-05-05 08:13:40,951960,952286,2020-05-05 08:13:40.791
2020-05-05 08:13:41,951960,952286,2020-05-05 08:13:41.072
2020-05-05 08:13:41,951960,952289,2020-05-05 08:13:41.362
2020-05-05 08:13:41,951961,952383,2020-05-05 08:13:41.673
2020-05-05 08:13:41,951966,952383,2020-05-05 08:13:41.967
2020-05-05 08:13:42,951966,952383,2020-05-05 08:13:42.246
2020-05-05 08:13:42,951967,952383,2020-05-05 08:13:42.509
2020-05-05 08:13:42,951968,952383,2020-05-05 08:13:42.789
2020-05-05 08:13:43,951968,952383,2020-05-05 08:13:43.065
2020-05-05 08:13:43,951968,952383,2020-05-05 08:13:43.346
2020-05-05 08:13:43,951969,952383,2020-05-05 08:13:43.673
2020-05-05 08:13:43,952049,952385,2020-05-05 08:13:43.960
2020-05-05 08:13:44,952049,952379,2020-05-05 08:13:44.298
2020-05-05 08:13:44,952050,952425,2020-05-05 08:13:44.724
2020-05-05 08:13:44,952050,952424,2020-05-05 08:13:44.994
2020-05-05 08:13:45,952050,952424,2020-05-05 08:13:45.299
2020-05-05 08:13:45,952050,952424,2020-05-05 08:13:45.583
2020-05-05 08:13:45,952071,952419,2020-05-05 08:13:45.961
2020-05-05 08:13:46,952071,952419,2020-05-05 08:13:46.279
2020-05-05 08:13:46,952071,952423,2020-05-05 08:13:46.546
2020-05-05 08:13:46,952071,952424,2020-05-05 08:13:46.848
2020-05-05 08:13:47,952071,952424,2020-05-05 08:13:47.134
2020-05-05 08:13:47,952071,952426,2020-05-05 08:13:47.423
2020-05-05 08:13:47,951984,952426,2020-05-05 08:13:47.946
2020-05-05 08:13:48,952072,952426,2020-05-05 08:13:48.264
2020-05-05 08:13:48,952072,952426,2020-05-05 08:13:48.652
2020-05-05 08:13:49,952074,952425,2020-05-05 08:13:49.093
2020-05-05 08:13:49,952072,952420,2020-05-05 08:13:49.401
2020-05-05 08:13:49,952072,952420,2020-05-05 08:13:49.698
