[INFO:2020-03-25 03:38:38,867] waiting OPENING sell-liquid/buy-coincheck margin:-436, open_threshold:2000
[INFO:2020-03-25 03:38:39,915] waiting OPENING sell-liquid/buy-coincheck margin:-436, open_threshold:2000
[INFO:2020-03-25 03:38:40,957] waiting OPENING sell-liquid/buy-coincheck margin:-165, open_threshold:2000
[INFO:2020-03-25 03:38:42,003] waiting OPENING sell-liquid/buy-coincheck margin:-165, open_threshold:2000
[INFO:2020-03-25 03:38:43,049] waiting OPENING sell-liquid/buy-coincheck margin:-264, open_threshold:2000
[INFO:2020-03-25 03:38:44,098] waiting OPENING sell-liquid/buy-coincheck margin:-264, open_threshold:2000
[INFO:2020-03-25 03:38:45,141] waiting OPENING sell-liquid/buy-coincheck margin:-199, open_threshold:2000
[INFO:2020-03-25 03:38:46,190] waiting OPENING sell-liquid/buy-coincheck margin:-199, open_threshold:2000
[INFO:2020-03-25 03:38:47,251] waiting OPENING sell-liquid/buy-coincheck margin:-308, open_threshold:2000
[INFO:2020-03-25 03:38:48,306] waiting OPENING sell-liquid/buy-coincheck margin:-308, open_threshold:2000
[INFO:2020-03-25 03:38:49,352] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:38:50,399] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:38:51,451] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:38:52,504] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:38:53,564] waiting OPENING sell-liquid/buy-coincheck margin:248, open_threshold:2000
[INFO:2020-03-25 03:38:54,626] waiting OPENING sell-liquid/buy-coincheck margin:248, open_threshold:2000
[INFO:2020-03-25 03:38:55,681] waiting OPENING sell-liquid/buy-coincheck margin:-54, open_threshold:2000
[INFO:2020-03-25 03:38:56,729] waiting OPENING sell-liquid/buy-coincheck margin:-54, open_threshold:2000
[INFO:2020-03-25 03:38:57,871] waiting OPENING sell-liquid/buy-coincheck margin:-233, open_threshold:2000
[INFO:2020-03-25 03:38:58,921] waiting OPENING sell-liquid/buy-coincheck margin:-229, open_threshold:2000
[INFO:2020-03-25 03:38:59,975] waiting OPENING sell-liquid/buy-coincheck margin:-201, open_threshold:2000
[INFO:2020-03-25 03:39:01,038] waiting OPENING sell-liquid/buy-coincheck margin:-201, open_threshold:2000
[INFO:2020-03-25 03:39:02,105] waiting OPENING sell-liquid/buy-coincheck margin:511, open_threshold:2000
[INFO:2020-03-25 03:39:03,180] waiting OPENING sell-liquid/buy-coincheck margin:511, open_threshold:2000
