timestamp,cc_side,cc_price,lq_side,lq_price,profit
2020-05-07 07:08:24,buy,5949.993,sell,5951.094,1
2020-05-07 07:08:40,sell,5951.142,buy,5958.0,-6
2020-05-07 07:08:57,buy,5946.991,sell,5945.932,-1
2020-05-07 07:09:21,sell,5944.56,buy,5950.038,-5
2020-05-07 07:09:38,buy,5945.996,sell,5946.09,0
2020-05-07 07:11:53,sell,5939.778,buy,5943.354,-3
2020-05-07 07:14:28,buy,5940.992,sell,5942.148,1
2020-05-07 07:44:32,sell,5935.428,buy,5939.652,-4
2020-05-07 07:52:01,buy,5971.99,sell,5970.138,-1
2020-05-07 07:52:12,sell,5971.554,buy,5974.632,-3
2020-05-07 07:52:27,buy,5967.999,sell,5965.74,-2
2020-05-07 07:52:50,sell,5952.09,buy,5955.39,-3
2020-05-07 07:53:29,buy,5957.993,sell,5955.534,-2
2020-05-07 07:53:55,sell,5956.068,buy,5960.232,-4
2020-05-07 07:54:23,buy,5960.999,sell,5964.816,3
2020-05-07 08:05:15,sell,5962.278,buy,5967.222,-4
