[INFO:2020-03-25 10:38:45,863] waiting OPENING sell-coincheck/buy-liquid margin:-43, open_threshold:2000
[INFO:2020-03-25 10:38:46,915] waiting OPENING sell-coincheck/buy-liquid margin:-162, open_threshold:2000
[INFO:2020-03-25 10:38:47,976] waiting OPENING sell-coincheck/buy-liquid margin:-168, open_threshold:2000
[INFO:2020-03-25 10:38:49,020] waiting OPENING sell-coincheck/buy-liquid margin:-168, open_threshold:2000
[INFO:2020-03-25 10:38:50,092] waiting OPENING sell-coincheck/buy-liquid margin:-180, open_threshold:2000
[INFO:2020-03-25 10:38:51,147] waiting OPENING sell-coincheck/buy-liquid margin:-180, open_threshold:2000
[INFO:2020-03-25 10:38:52,198] waiting OPENING sell-coincheck/buy-liquid margin:-190, open_threshold:2000
[INFO:2020-03-25 10:38:53,261] waiting OPENING sell-coincheck/buy-liquid margin:-190, open_threshold:2000
[INFO:2020-03-25 10:38:54,307] waiting OPENING sell-liquid/buy-coincheck margin:-165, open_threshold:2000
[INFO:2020-03-25 10:38:55,346] waiting OPENING sell-coincheck/buy-liquid margin:-215, open_threshold:2000
[INFO:2020-03-25 10:38:56,396] waiting OPENING sell-coincheck/buy-liquid margin:-260, open_threshold:2000
[INFO:2020-03-25 10:38:57,453] waiting OPENING sell-coincheck/buy-liquid margin:-260, open_threshold:2000
[INFO:2020-03-25 10:38:58,500] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:38:59,562] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:39:00,614] waiting OPENING sell-coincheck/buy-liquid margin:-241, open_threshold:2000
[INFO:2020-03-25 10:39:01,703] waiting OPENING sell-coincheck/buy-liquid margin:-241, open_threshold:2000
[INFO:2020-03-25 10:39:02,754] waiting OPENING sell-liquid/buy-coincheck margin:-285, open_threshold:2000
[INFO:2020-03-25 10:39:03,797] waiting OPENING sell-liquid/buy-coincheck margin:-285, open_threshold:2000
[INFO:2020-03-25 10:39:04,850] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:39:05,892] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:39:06,944] waiting OPENING sell-coincheck/buy-liquid margin:-178, open_threshold:2000
[INFO:2020-03-25 10:39:07,998] waiting OPENING sell-coincheck/buy-liquid margin:-178, open_threshold:2000
[INFO:2020-03-25 10:39:09,045] waiting OPENING sell-coincheck/buy-liquid margin:64, open_threshold:2000
[INFO:2020-03-25 10:39:10,093] waiting OPENING sell-coincheck/buy-liquid margin:64, open_threshold:2000
[INFO:2020-03-25 10:39:11,143] waiting OPENING sell-coincheck/buy-liquid margin:314, open_threshold:2000
[INFO:2020-03-25 10:39:12,201] waiting OPENING sell-coincheck/buy-liquid margin:314, open_threshold:2000
[INFO:2020-03-25 10:39:13,260] waiting OPENING sell-coincheck/buy-liquid margin:314, open_threshold:2000
[INFO:2020-03-25 10:39:14,313] waiting OPENING sell-coincheck/buy-liquid margin:314, open_threshold:2000
[INFO:2020-03-25 10:39:15,364] waiting OPENING sell-coincheck/buy-liquid margin:399, open_threshold:2000
[INFO:2020-03-25 10:39:16,429] waiting OPENING sell-coincheck/buy-liquid margin:265, open_threshold:2000
[INFO:2020-03-25 10:39:17,523] waiting OPENING sell-coincheck/buy-liquid margin:234, open_threshold:2000
[INFO:2020-03-25 10:39:18,563] waiting OPENING sell-coincheck/buy-liquid margin:234, open_threshold:2000
[INFO:2020-03-25 10:39:19,611] waiting OPENING sell-coincheck/buy-liquid margin:136, open_threshold:2000
[INFO:2020-03-25 10:39:20,680] waiting OPENING sell-coincheck/buy-liquid margin:136, open_threshold:2000
[INFO:2020-03-25 10:39:21,737] waiting OPENING sell-coincheck/buy-liquid margin:129, open_threshold:2000
[INFO:2020-03-25 10:39:22,781] waiting OPENING sell-coincheck/buy-liquid margin:129, open_threshold:2000
[INFO:2020-03-25 10:39:23,826] waiting OPENING sell-coincheck/buy-liquid margin:200, open_threshold:2000
[INFO:2020-03-25 10:39:24,879] waiting OPENING sell-coincheck/buy-liquid margin:200, open_threshold:2000
[INFO:2020-03-25 10:39:25,920] waiting OPENING sell-coincheck/buy-liquid margin:200, open_threshold:2000
[INFO:2020-03-25 10:39:26,965] waiting OPENING sell-coincheck/buy-liquid margin:200, open_threshold:2000
[INFO:2020-03-25 10:39:28,025] waiting OPENING sell-coincheck/buy-liquid margin:120, open_threshold:2000
[INFO:2020-03-25 10:39:29,079] waiting OPENING sell-coincheck/buy-liquid margin:120, open_threshold:2000
[INFO:2020-03-25 10:39:30,151] waiting OPENING sell-coincheck/buy-liquid margin:-73, open_threshold:2000
[INFO:2020-03-25 10:39:31,195] waiting OPENING sell-coincheck/buy-liquid margin:-73, open_threshold:2000
[INFO:2020-03-25 10:39:32,250] waiting OPENING sell-coincheck/buy-liquid margin:-319, open_threshold:2000
[INFO:2020-03-25 10:39:33,318] waiting OPENING sell-coincheck/buy-liquid margin:-319, open_threshold:2000
[INFO:2020-03-25 10:39:34,377] waiting OPENING sell-liquid/buy-coincheck margin:76, open_threshold:2000
[INFO:2020-03-25 10:39:35,435] waiting OPENING sell-liquid/buy-coincheck margin:76, open_threshold:2000
[INFO:2020-03-25 10:39:36,490] waiting OPENING sell-liquid/buy-coincheck margin:248, open_threshold:2000
[INFO:2020-03-25 10:39:37,541] waiting OPENING sell-coincheck/buy-liquid margin:142, open_threshold:2000
[INFO:2020-03-25 10:39:38,594] waiting OPENING sell-coincheck/buy-liquid margin:147, open_threshold:2000
[INFO:2020-03-25 10:39:39,655] waiting OPENING sell-coincheck/buy-liquid margin:147, open_threshold:2000
