timestamp,bid,ask,tick_timestamp
2020-04-21 09:31:45,743715,743910,2020-04-21 09:31:45.829
2020-04-21 09:31:46,743715,743910,2020-04-21 09:31:46.877
2020-04-21 09:31:47,743715,743910,2020-04-21 09:31:47.918
2020-04-21 09:31:48,743730,743893,2020-04-21 09:31:48.956
2020-04-21 09:31:50,743624,743893,2020-04-21 09:31:50.120
2020-04-21 09:31:51,743837,743870,2020-04-21 09:31:51.142
2020-04-21 09:31:52,743837,743865,2020-04-21 09:31:52.167
2020-04-21 09:31:53,743837,743865,2020-04-21 09:31:53.228
2020-04-21 09:31:54,743837,743865,2020-04-21 09:31:54.377
2020-04-21 09:31:55,743594,743865,2020-04-21 09:31:55.463
2020-04-21 09:31:56,743569,743865,2020-04-21 09:31:56.488
2020-04-21 09:31:57,743578,743752,2020-04-21 09:31:57.499
2020-04-21 09:31:58,743733,743752,2020-04-21 09:31:58.532
2020-04-21 09:31:59,743733,743839,2020-04-21 09:31:59.559
2020-04-21 09:32:00,743559,743771,2020-04-21 09:32:00.716
2020-04-21 09:32:01,743497,743531,2020-04-21 09:32:01.809
2020-04-21 09:32:02,743272,743339,2020-04-21 09:32:02.833
2020-04-21 09:32:03,743235,743375,2020-04-21 09:32:03.856
2020-04-21 09:32:04,743235,743393,2020-04-21 09:32:04.894
2020-04-21 09:32:05,743235,743361,2020-04-21 09:32:05.914
2020-04-21 09:32:06,743235,743251,2020-04-21 09:32:06.949
2020-04-21 09:32:07,743285,743301,2020-04-21 09:32:07.976
2020-04-21 09:32:09,743343,743356,2020-04-21 09:32:09.044
2020-04-21 09:32:10,743387,743356,2020-04-21 09:32:10.053
2020-04-21 09:32:11,743442,743388,2020-04-21 09:32:11.075
2020-04-21 09:32:12,743442,743388,2020-04-21 09:32:12.193
2020-04-21 09:32:13,743442,743388,2020-04-21 09:32:13.220
2020-04-21 09:32:14,743459,743388,2020-04-21 09:32:14.262
2020-04-21 09:32:15,743459,743483,2020-04-21 09:32:15.299
2020-04-21 09:32:16,743459,743456,2020-04-21 09:32:16.414
2020-04-21 09:32:17,743461,743641,2020-04-21 09:32:17.431
2020-04-21 09:32:18,743493,743640,2020-04-21 09:32:18.507
2020-04-21 09:32:19,743475,743619,2020-04-21 09:32:19.529
2020-04-21 09:32:20,743490,743619,2020-04-21 09:32:20.588
2020-04-21 09:32:21,743490,743619,2020-04-21 09:32:21.613
2020-04-21 09:32:22,743490,743587,2020-04-21 09:32:22.676
2020-04-21 09:32:23,743490,743587,2020-04-21 09:32:23.729
2020-04-21 09:32:24,743490,743587,2020-04-21 09:32:24.751
2020-04-21 09:32:25,743527,743587,2020-04-21 09:32:25.869
2020-04-21 09:32:26,743527,743619,2020-04-21 09:32:26.898
2020-04-21 09:32:27,743592,743772,2020-04-21 09:32:27.956
2020-04-21 09:32:28,743532,743534,2020-04-21 09:32:28.977
2020-04-21 09:32:30,743490,743534,2020-04-21 09:32:30.172
2020-04-21 09:32:31,743537,743710,2020-04-21 09:32:31.196
2020-04-21 09:32:32,743537,743810,2020-04-21 09:32:32.251
2020-04-21 09:32:33,743659,743810,2020-04-21 09:32:33.287
2020-04-21 09:32:34,743659,743760,2020-04-21 09:32:34.343
2020-04-21 09:32:35,743659,743703,2020-04-21 09:32:35.641
2020-04-21 09:32:36,743518,743680,2020-04-21 09:32:36.652
2020-04-21 09:32:37,743645,743680,2020-04-21 09:32:37.680
2020-04-21 09:32:38,743654,743680,2020-04-21 09:32:38.732
2020-04-21 09:32:39,743654,743680,2020-04-21 09:32:39.754
2020-04-21 09:32:40,743774,743682,2020-04-21 09:32:40.864
2020-04-21 09:32:41,743774,743865,2020-04-21 09:32:41.928
2020-04-21 09:32:42,743774,743865,2020-04-21 09:32:42.947
2020-04-21 09:32:43,743774,743865,2020-04-21 09:32:43.976
2020-04-21 09:32:45,743774,743876,2020-04-21 09:32:45.069
2020-04-21 09:32:46,743774,743876,2020-04-21 09:32:46.140
2020-04-21 09:32:47,743774,743965,2020-04-21 09:32:47.268
2020-04-21 09:32:48,743803,744004,2020-04-21 09:32:48.361
2020-04-21 09:32:49,743920,744004,2020-04-21 09:32:49.385
2020-04-21 09:32:50,743920,744004,2020-04-21 09:32:50.451
2020-04-21 09:32:51,743920,744004,2020-04-21 09:32:51.468
2020-04-21 09:32:52,743920,744027,2020-04-21 09:32:52.501
2020-04-21 09:32:53,743920,744027,2020-04-21 09:32:53.562
2020-04-21 09:32:54,743920,744027,2020-04-21 09:32:54.647
2020-04-21 09:32:55,743920,744027,2020-04-21 09:32:55.664
2020-04-21 09:32:56,743920,744027,2020-04-21 09:32:56.706
2020-04-21 09:32:57,743920,743951,2020-04-21 09:32:57.854
